Profession_classification,company_name,work_name,requirements,104_url,area,education,industry,seniority,number_of_applicants,salary,company_size,area_district,number_of_applicants_level,education_specialist,education_none,education_University,education_high_school,education_low_high_school,education_phd,education_master,month_salary_classfication,year_salary_classfication,time_salary_classfication,element_salary_classfication,max_salary,mix_salary,company_area
18,力碁科技服務股份有限公司,﹝畜牧部﹞動物飼養員-112,"1.羊隻飼養
2.環境整理
3.羊隻放牧、遷移、牽引驅趕
4.生物安全管理
5.設備維護、損壞通報
6.案場環境紀錄
7.其他臨時交辦事項",//www.104.com.tw/job/7y0jb?jobsource=joblist_morej,屏東縣,專科,電力機械器材製造修配業,1年以上,0~5人應徵,"月薪30,000~40,000元",90.0,佳冬鄉,1,1,0,0,0,0,0,0,1,0,0,0,40000.0,30000.0,屏東縣佳冬鄉佳和路218號及鄰近案場
9,精準環境股份有限公司,環境檢測業專家顧問,"精準環境是一間創立超過30年的知名環境檢測企業，正追求管理與業務模式升級，提供展現才華的機會，共同打造有活力，氣氛輕鬆，積極互助，持續成長的企業文化

1.負責公司業務發展規劃，協助找尋新的發展機會

2.規劃及審核公司各項管理制度，提升經營管理效率

3.管控各專案進度，確保各專案符合時程規劃

4.孰悉環保行業，具採樣、專案、QA/QC等經驗者優先考慮

5.其他主管交辦事項

★重視人才栽培發展★
公司提供完整的教育訓練，包含現場採樣、客戶應對、採樣紀錄、設備使用等，協助打造全方位發展人才
",//www.104.com.tw/job/7p4js?jobsource=jolist_b_date,台北市,大學,環境衛生及污染防治服務業,3年以上,0~5人應徵,"月薪60,000~70,000元",80.0,內湖區,1,0,0,1,0,0,0,0,1,0,0,0,70000.0,60000.0,台北市內湖區行愛路77巷16號3樓
6,老新台菜/永心鳳茶/心潮飯店_老新餐飲有限公司,［永心鳳茶］台北-廚藝人員$38000-$40000,"1.負責洗、剝、削、切各種食材，以完成烹飪的前置工作。
2.協助廚師測量食材的容量與重量。
3.依照客人的點單，準備不同菜色所需要的食材。
4.於出菜時負責菜餚擺盤或調整份量之工作。
5.確保所負責類別的食品均符合衛生管理的規定。

工作地點：台北市中山區(新光南西店)/信義區(微風信義店、微風南山店)",//www.104.com.tw/job/75kg4?jobsource=jolist_d_date,台北市,高中以下,餐館業,1年以上,0~5人應徵,"月薪38,000~40,000元",400.0,信義區,1,0,0,0,0,1,0,0,1,0,0,0,40000.0,38000.0,台北市信義區/中山區
5,竹桓股份有限公司,Cleanup日本進口廚具業務專員（台南展示中心）,"竹桓（股）公司為Cleanup日本第一名廚之台灣代理商，具備專業及豐富的經驗及訓練系統，已在台深耕市場逾十年並在日系廚具市場中佔有極高市佔率，與各大建設公司及知名設計師長期合作，深獲市場及客戶肯定與支持，全台各縣市設有經銷商及中國上海海外分公司，業績穩定且大幅成長，為拓展服務更多的客戶，本公司擴大編制，將於8月下旬至9月間開幕成立台南展示中心，歡迎有經驗、有能力的您加入竹桓一同成長打拼，成就自我，享受成功豐碩的成績！

［工作內容］
1.客戶經營與開發。
2.產品介紹與銷售。
3.產品規劃與報價。
4.訂單處理與帳款回收。
5.客戶關係維護與客訴處理。
6.了解市場動態與競爭對手。
7.完成主管所交辦之任務及達成公司所設定之目標。

［制度福利］
1.公司制度福利健全，符合勞基法。
2.升遷管道完善，發展潛力機會多。
3.提供員工制服，宿舍，公務車，手機及享有購車及油資津貼。
4.高額獎金(新開發獎金.高毛利獎金.業績獎金)及中秋.年終獎金。
5.工作環境佳，同事相處融洽。
6.提供專業職前訓練，著重人才培育與教育。",//www.104.com.tw/job/7oc67?jobsource=jolist_a_date,台南市,大學,建材／傢俱批發業,經歷不拘,0~5人應徵,"月薪30,000~38,000元",50.0,北區,1,0,0,1,0,0,0,0,1,0,0,0,38000.0,30000.0,台南市北區西門路三段260號
6,JIT快速剪髮屋_唯美快速剪髮屋,美髮培訓生-新竹竹北店,"1.本科系畢或一年以上沙龍助理經驗(有染、洗髮基礎)，但缺乏實務經驗者。
2.保障基本薪資。（依勞基法最低薪資調整）
3.享有就保或勞健保。每月彈性休假8天平日，含特休假及12天國定假日。
4.享有中秋禮金、生日禮金、開工紅包、結婚禮金、年終紅包。
5.每月績效獎金。
6.享有每季聚餐、員工旅遊等。
7.需接受公司培訓課程，自105年1月份開始：
7.1上課時間每週一次，每次8小時（不含用餐時間），課程另收費(不含教材工具)",//www.104.com.tw/job/4y8rt?jobsource=jolist_a_date,新竹縣,學歷不拘,美髮業,經歷不拘,0~5人應徵,"月薪26,400元",450.0,竹北市,1,0,1,0,0,0,0,0,1,0,0,0,,26400.0,新竹縣竹北市光明六路89號124室
4,美商路銤德股份有限公司台灣分公司,ProjectAssistant/Manager,"專案管理--掌握客戶需求及產品開發進度,協調組裝廠安排試產,在客戶、RD、外包廠商之間溝通協調

發光鍵盤背光模組機構輔助–協助部分2D圖面整理(需使用AutoCAD)

Sourcing–尋找並導入新材料或新供應商",//www.104.com.tw/job/7jk9r?jobsource=jolist_d_date,新竹縣,專科,光電產業,經歷不拘,0~5人應徵,nan,nan,竹北市,1,1,0,0,0,0,0,0,0,0,0,0,,,新竹縣竹北市中和街62巷17弄1號3樓
9,港香蘭藥廠股份有限公司,儀器分析工程師-質譜,"1.操作HPLC,GC/MS,LC/MS,ICP/MS等儀器分析
2.實驗相關文件撰寫,記錄及實驗數據整理
3.儀器設備驗證與維護。
4.工作內容符合ISO17025實驗室品質系統規範,協助申請及執行認證測試方法
5.他項主管交辦事項",//www.104.com.tw/job/7ycvo?jobsource=jolist_b_date,台南市,專科,藥品製造業,1年以上,11~30人應徵,"月薪30,300~33,300元",200.0,永康區,3,1,0,0,0,0,0,0,1,0,0,0,33300.0,30300.0,台南市永康區
3,中租控股_中租迪和股份有限公司,【銀角零卡】審查人員（台北受訓，駐點台中）,"【工作內容】
1.負責國內外企業授信風險相關審查作業，並撰寫風險評估報告。　
2.供應商定期檢視並出具評估報告。
3.其他交辦事項。

※為充分培養審查人員需具備的知識與能力，正式於台中駐點前，將先在台北接受1個月的專業訓練。

【國內先買後付第一品牌-銀角零卡】
中租控股旗下仲信資融於2018年領先市場推出APP分期後支付工具「中租零卡分期」，提供消費者免綁信用卡、免儲值、免綁銀行帳戶、免年費的彈性付款方式，並成功串聯破萬線上與線下商家。2022年中租零卡分期轉型成為「zingala銀角零卡」，新品牌將延續零卡分期的創新精神，藉由「小額便利支付，大額隨手分期」，提供更貼近用戶生活場域的先買後付（BNPL）新世代分期消費方式。

※想了解更多關於銀角零卡的資訊，請上https://www.zingala.com",//www.104.com.tw/job/7w8sb?jobsource=jolist_b_date,台中市,大學,其他金融及輔助業,2年以上,6~10人應徵,nan,員工1400人,北屯區,2,0,0,1,0,0,0,0,0,0,0,0,,,台中市北屯區文心路三段447號9樓
4,鮮食家_家庭雲端股份有限公司,電商平台PM助理,"1.電商平台商品上架及維護（包含但不限於PChome、momo、蝦皮、東森等各大電商通路）
2.與通路PM窗口對接聯繫，規劃並安排活動執行
3.通路商品庫存控管，確保庫存流轉暢通、減少浪費情況
4.數據匯總整理與洞察，並提出改善建議協助落地執行
",//www.104.com.tw/job/7vpev?jobsource=jolist_b_date,台北市,專科,網際網路相關業,1年以上,11~30人應徵,"月薪30,000~33,000元",27.0,大安區,3,1,0,0,0,0,0,0,1,0,0,0,33000.0,30000.0,台北市大安區忠孝東路四段218號13樓(近捷運忠孝敦化站)
4,YITENG_以登企業有限公司,誠徵美容美髮業務/可兼職,"徵北中南美容儀器業務
具保養品業務經驗-保障底薪+高額獎金獎勵
1.入店美容產品專業知識講解與銷售。
2.需陌生開發為優先並定期拜訪客戶，維繫穩定客戶關係。
3.美容技術示範講解，提供專業的健康與美容諮詢。
4.開朗大方、應對能力佳、儀容整齊具企圖心與團隊合作的態度。
5.或代理商都可洽談",//www.104.com.tw/job/4t6ga?jobsource=jolist_c_date,台南市,高中,美容／美體業,1年以上,0~5人應徵,"月薪26,400~32,000元",nan,安南區,1,0,0,0,1,0,0,0,1,0,0,0,32000.0,26400.0,台南市安南區安通路四段46號
5,台灣屈臣氏個人用品商店股份有限公司,419-門市正職人員-台中市潭子區,"身為引領時尚潮流的藥妝產業一員
你比任何人都更追求美麗的第一手資訊
及健康趨勢的市場脈動
也要將這份熱情感染給你所服務的每一位顧客
讓他們也可以跟你一樣LookGood,FeelGreat
同時也要讓顧客可以感受到專屬於他的完美購物體驗
因此你和其他的團隊成員們身負重任
要確保門市所有的營運流程及時與正確的完成
除了定期及例行工作之外
你還需要能主動思考並用更聰明簡捷的工作方式
才能讓我們可以超越顧客的期待
另外善用好奇心及主動學習
可以讓你有跳躍式的成長與進步
而迅速及有效行動力
將會讓你在屈臣氏能得到更多的成就",//www.104.com.tw/job/7ytz0?jobsource=jolist_d_date,台中市,高中,百貨相關業,經歷不拘,0~5人應徵,"月薪27,200元",nan,潭子區,1,0,0,0,1,0,0,0,1,0,0,0,,27200.0,台中市潭子區勝利路213號
